CS414,pl2099,77
CS414,cp2033,70
CS414,wd2022,70
CS414,ab2069,63
CS414,hm2074,71
CS414,rk2022,66
CS414,dn2063,80
CS414,dz2020,80
CS414,xs2030,79
CS414,zn2010,96
CS417,pl2099,90
CS417,dn2063,80
CS417,wd2022,94
CS417,rk2022,69
CS417,ab2069,79
CS417,cp2033,72
CS417,hm2074,64
CS415,dz2020,75
CS415,rk2022,94
CS415,zn2010,75
CS415,hm2074,80
CS415,cp2033,70
CS415,xs2030,82
CS415,ab2069,62
CS415,pl2099,87
CS416,hm2074,91
CS416,zn2010,81
CS416,pl2099,95
CS416,xs2030,75
CS416,rk2022,96
CS416,wd2022,64
CS416,dn2063,79
CS416,cp2033,83
CS416,dz2020,83
CS515,rk2022,76
CS515,dn2063,97
CS515,dz2020,66
CS515,ab2069,83
CS515,zn2010,85
CS515,pl2099,87
CS515,wd2022,76
CS515,cp2033,76
CS520,dn2063,70
CS520,pl2099,74
CS520,ab2069,85
CS520,zn2010,83
CS520,rk2022,74
CS520,wd2022,86
CS520,dz2020,88
CS520,xs2030,84
CS619,pl2099,72
CS619,dn2063,84
CS619,zn2010,85
CS619,hm2074,93
CS619,ab2069,74
CS619,rk2022,82
CS619,wd2022,78
CS619,cp2033,78
CS619,dz2020,81
CS619,xs2030,83
CS620,dz2020,78
CS620,zn2010,62
CS620,xs2030,78
CS620,dn2063,79
CS620,wd2022,85
CS620,pl2099,89
CS620,cp2033,92
CS620,ab2069,85
CS620,rk2022,90
CS620,hm2074,75
CS659,zn2010,78
CS659,dz2020,71
CS659,pl2099,91
CS659,xs2030,90
CS659,rk2022,70
CS659,wd2022,71
CS659,hm2074,73
CS659,dn2063,75
CS659,ab2069,73
CS671,pl2099,83
CS671,rk2022,80
CS671,cp2033,90
CS671,dz2020,86
CS671,hm2074,81
CS671,xs2030,70
CS671,zn2010,77
CS671,wd2022,73
